Gene	Ackerman2015.log2FC	Ackerman2015.padj
HBD	-2.007979384	0.000748306
SLC30A8	-1.549818058	0.001265438
APOB	-1.549001077	0.01752174
OR10A6	-1.548007558	NA
RP1	-1.475163047	0.001920491
CX3CL1	-1.465696469	0.001920491
SDS	-1.458155153	NA
KLHDC7B	-1.437892309	0.049311188
GRIK1	-1.386937458	0.063706177
MRGPRE	-1.374917677	0.069163003
CUBN	-1.321626448	6.02E-07
MUC4	-1.308741665	NA
RNASE12	-1.282166647	NA
IL33	-1.282004364	0.000206155
MUC20	-1.278639176	0.001617214
INSL6	-1.261697049	0.013336236
DBH	-1.257003786	0.043692911
SLCO5A1	-1.246723736	NA
MTRNR2L10	-1.240938343	0.075664405
KIF25	-1.226681005	NA
RIC3	-1.187707016	0.134233851
LRRTM1	-1.183145052	NA
CTNNA2	-1.181414485	NA
HORMAD1	-1.169865444	0.129606166
ANKRD34C	-1.164807718	NA
NMNAT2	-1.143701414	0.026311665
EPHA5	-1.143457049	0.159023404
POF1B	-1.117575792	0.026603052
C15orf48	-1.089129438	0.005691762
BMX	-1.088630429	0.002471901
ABCC6	-1.087275444	NA
ICA1	-1.083079101	0.000248887
SCG2	-1.077379566	0.259665449
CXCL12	-1.067782726	0.018536844
CAMK1G	-1.058930157	NA
OR51B4	-1.054973359	0.282532843
OR51E1	-1.051424502	0.087195716
CLC	-1.050420885	NA
TMEM56	-1.048626433	0.000357665
CA1	-1.047113701	0.254192176
OR51B5	-1.043897885	0.284880057
SMKR1	-1.042580249	0.136369397
PDE2A	-1.034459292	0.00143801
SLC6A12	-1.03206235	NA
CRISP3	-1.027514884	NA
PSG11	-1.022852536	0.017125712
IL7	-1.016726466	NA
FOXS1	-1.00906914	0.044334032
S100A14	-1.001456897	NA
SCN3B	-1.001268125	0.15819976
IVL	-1.00108255	NA
PGAM4	-0.998391909	NA
FCN1	-0.990320603	0.054954311
GPR155	-0.983644894	0.001189854
KRTAP24-1	-0.977518721	NA
CRYM	-0.97669426	NA
GLP2R	-0.967688603	0.282103918
SLC34A2	-0.966033834	0.25646883
CAMP	-0.963498555	NA
KIAA2022	-0.961712088	0.266800545
COLEC10	-0.959272923	0.001094967
TDRD12	-0.959259143	NA
LMOD2	-0.9588982	0.33701127
UNC80	-0.957294333	NA
CH25H	-0.951505832	NA
ZNF560	-0.950582751	0.183885341
MMP8	-0.94859511	NA
MS4A15	-0.941743587	NA
ROBO2	-0.941349202	0.236105374
PRSS41	-0.940604703	NA
SCN2A	-0.939825108	0.009608253
PTGFR	-0.936308024	0.156326051
TCTEX1D1	-0.927952742	0.052187343
MRGPRG	-0.926545116	NA
PKP1	-0.922981099	0.263652429
TFAP2B	-0.922278815	0.113033959
BAALC	-0.921597643	0.066978917
E2F5	-0.920547844	0.024449346
OAZ3	-0.920298175	NA
PCK1	-0.918859178	NA
FAM150B	-0.918759588	0.38524973
ITM2A	-0.909170249	0.122515456
KLHL14	-0.906245984	0.231951877
CCK	-0.906024819	0.440599079
GPR141	-0.904411144	0.357458428
ODF3L1	-0.901116883	NA
EBF3	-0.900663312	0.01225761
NRN1	-0.900560279	0.028339467
LRRN3	-0.899885167	0.359868314
NOX4	-0.899358508	0.005823408
PVRIG	-0.898471656	NA
CD163L1	-0.892111112	0.002229553
TTC39A	-0.889752102	0.314871131
LPL	-0.889693755	0.432917206
NME8	-0.884866258	0.45469524
KCNJ2	-0.884658479	0.042977771
KRTAP27-1	-0.88259234	NA
ANKRD33	-0.882543812	0.182375592
DGKI	-0.880961065	0.100246738
PSCA	-0.877519249	0.286259024
TUBB3	-0.877199157	0.117241728
PDE1C	-0.876844648	0.024449346
GTF2H2C	-0.876230388	NA
SLC35G1	-0.869657322	0.313538552
HBB	-0.867555369	0.451397165
SEC14L5	-0.865715955	0.134921725
GRIA2	-0.864893046	NA
CCDC154	-0.863309298	0.324439674
GABRA4	-0.859725142	0.079811775
LCN2	-0.859500384	NA
GJD3	-0.85817064	NA
OR51B2	-0.852944858	0.491547254
IGSF9B	-0.849709403	0.306231766
TMPRSS2	-0.847723241	0.457963067
OR51E2	-0.84657434	0.043692911
SLC26A1	-0.845838422	NA
MFSD4	-0.838216443	0.038261616
GPR26	-0.836823026	NA
VCAM1	-0.835335559	0.424134402
RIPPLY1	-0.834769773	0.380486808
SELE	-0.833947516	0.33701127
ENC1	-0.830644727	0.012153791
KL	-0.83020065	0.001617214
NTM	-0.825192569	NA
EMCN	-0.822896137	0.367098347
CRABP1	-0.821730028	0.519033412
CCDC28B	-0.820242665	0.285228539
CA3	-0.819214127	NA
CCL2	-0.816913466	0.32048261
CLDN18	-0.814833353	NA
TMEM200A	-0.81308226	0.494910358
BFSP1	-0.811554192	0.154676323
RNF133	-0.809311967	NA
NDRG2	-0.808785561	0.341451588
GBA3	-0.807392031	NA
KLRF1	-0.807232601	NA
NOX5	-0.80653279	0.274466233
TCF15	-0.799028759	0.102278024
CXXC4	-0.797249276	0.300718966
RNASE11	-0.796341847	0.496926054
PCSK5	-0.796105946	0.001955452
MYH3	-0.794577736	0.09262823
SPESP1	-0.793945296	0.358243996
GRPR	-0.793270809	NA
P2RX1	-0.792236168	0.168737932
SPOCK2	-0.791494028	0.449574375
ANO9	-0.79041119	0.50200261
CCDC62	-0.790160217	0.200610656
RGS20	-0.78995591	0.365325552
SCN4B	-0.789715898	0.459496136
DKK2	-0.784919518	0.521228136
PI16	-0.78462344	0.472058463
SMIM6	-0.783553932	NA
ANKDD1B	-0.780714521	0.331737387
GNAZ	-0.779007047	NA
CABP1	-0.774108395	NA
LAMA4	-0.772556924	0.002471901
SLC4A4	-0.771719592	0.069163003
PILRB	-0.769021504	0.475184071
COL19A1	-0.768737539	NA
NEGR1	-0.767280468	0.497162228
GABRR1	-0.763711839	0.45469524
CPNE5	-0.763158037	NA
EQTN	-0.762708181	NA
WNT10A	-0.762639858	0.467999407
LIPG	-0.761746167	0.046666746
DRD1	-0.761345888	0.578265331
PRSS23	-0.760787866	0.011806295
DCDC1	-0.760731214	NA
CDK14	-0.760624773	0.012153791
FUT3	-0.758155062	NA
IFIT1B	-0.757537978	0.491547254
FAM154B	-0.757299911	0.596631841
