Gene	Chim2012.logFC	Chim2012.padj
1-Mar	0.16532264	0.3927419
2-Mar	0.46756311	0.1956453
3-Mar	-0.26753936	0.25082
4-Mar	0.270156	0.3792273
5-Mar	0.15997371	0.6494733
6-Mar	-0.69898781	0.0458934
7-Mar	1.01617195	0.0027595
8-Mar	0.66578168	0.0712733
9-Mar	0.15305152	0.4622175
10-Mar	0.1362184	0.5186974
11-Mar	-0.10893998	0.4839758
1-Sep	-0.10137467	0.6955903
2-Sep	-1.08527936	0.0014739
3-Sep	0.10286608	0.5805539
4-Sep	0.20919562	0.5361701
6-Sep	0.74675978	0.0460676
7-Sep	0.94096919	0.008381
8-Sep	0.14376106	0.5472439
9-Sep	0.99493433	0.0141603
10-Sep	0.40981483	0.0450224
11-Sep	-0.98902226	0.0031536
12-Sep	-0.04282103	0.8836563
15-Sep	0.10685387	0.7977903
1-Dec	-0.13342004	0.5252769
A1BG	-0.08320141	0.6019347
A1BG-AS1	0.01796027	0.9488048
A1CF	-0.10183867	0.4365247
A2M	0.40111542	0.0658201
A2M-AS1	0.19881067	0.4505073
A2ML1	-0.18823986	0.3336642
A2MP1	-0.11006723	0.6244974
A4GALT	-0.08506517	0.7955558
A4GNT	-0.08846102	0.6298629
AA06	0.01776729	0.9589016
AAAS	-0.24363728	0.1892499
AACS	0.13233051	0.5491983
AACSP1	0.03656325	0.826054
AADAC	0.08082485	0.9120144
AADACL2	0.09558554	0.8036394
AADACP1	0.01234832	0.9616398
AADAT	-0.04784828	0.8472566
AAED1	-0.50133333	0.0446117
AAGAB	-1.21786446	0.0004327
AAK1	0.9704277	0.0026595
AAMDC	0.11992893	0.4016354
AAMP	-0.06274719	0.8571583
AANAT	0.08263202	0.7093924
AAR2	0.04144172	0.8647758
AARS	0.21333199	0.2606116
AARS2	0.68102693	0.0670078
AASDH	-1.55286383	0.0000293
AASDHPPT	-1.00022516	0.0002605
AASS	-0.54085817	0.0460631
AATBC	-0.06725526	0.7818718
AATF	-0.11959095	0.4035376
AATK	-0.15294695	0.491147
ABAT	0.34005242	0.0608594
ABCA1	-0.99492302	0.016062
ABCA11P	0.36797104	0.1957602
ABCA12	0.02214565	0.9384612
ABCA13	-0.08752003	0.6253143
ABCA17P	0.06270208	0.792299
ABCA2	0.31803208	0.215468
ABCA3	0.30799865	0.2197757
ABCA4	0.075563	0.7777341
ABCA5	0.07820043	0.8775258
ABCA6	-0.27597728	0.1454543
ABCA7	0.21010437	0.6070059
ABCA8	-1.12242508	0.1260628
ABCA9	-0.19411879	0.2757021
ABCB1	-0.61765195	0.6216079
ABCB10	0.4492343	0.1805094
ABCB11	0.06621823	0.8314246
ABCB4	-0.2502778	0.157355
ABCB5	-0.10606637	0.5257625
ABCB6	0.12371712	0.7073682
ABCB7	0.19266081	0.5299949
ABCB8	0.20581026	0.6035612
ABCB9	0.12138882	0.4831753
ABCC1	0.28522329	0.5379702
ABCC10	-0.24090891	0.2288578
ABCC11	-0.1668601	0.4638323
ABCC12	-0.12308426	0.4302901
ABCC13	-0.1403315	0.3573627
ABCC2	-0.16805244	0.5636515
ABCC3	0.62651805	0.0891812
ABCC4	0.38666453	0.2422728
ABCC5	0.33638315	0.0446117
ABCC6P1	-0.09334049	0.6341916
ABCC8	0.04656525	0.9029272
ABCC9	-0.16360073	0.3951842
ABCD1	-0.09940968	0.7644761
ABCD2	-0.12002487	0.5075004
ABCD3	-0.87646558	0.0946808
ABCD4	0.21811085	0.2090104
ABCE1	-0.26202765	0.4678404
ABCF1	0.31269264	0.2271563
ABCF2	0.48044319	0.0196662
ABCF3	-0.00647611	0.9839843
ABCG1	-0.59803505	0.1669265
ABCG2	0.42194119	0.4976345
ABCG4	0.09215532	0.8044202
ABCG5	-0.05720396	0.7644317
ABCG8	0.03871684	0.8379058
ABHD1	-0.0754118	0.7642822
ABHD10	-0.49945459	0.0866712
ABHD11	0.28869229	0.3190456
ABHD12	0.32903175	0.2739201
ABHD13	0.201724	0.4508182
ABHD14B	0.22938295	0.6223589
ABHD15	0.33917207	0.2622123
ABHD16A	-0.42814269	0.1421775
ABHD16B	0.15983911	0.4166427
ABHD17A	0.28065948	0.2774903
ABHD17B	0.55720043	0.0257622
ABHD17C	0.41442222	0.3387229
ABHD18	1.01666986	0.0020017
ABHD2	-0.50383368	0.0400458
ABHD3	-0.32848091	0.2722093
ABHD4	-0.3126772	0.1037874
ABHD5	-0.74659051	0.01138
ABHD6	0.31625085	0.162145
ABHD8	0.36705237	0.1507809
ABI1	0.30392666	0.143478
ABI2	0.62866368	0.0092748
ABI3	-0.14664469	0.6686515
ABI3BP	1.21053313	0.5000766
ABL1	-0.01154042	0.9779929
ABL2	0.90667361	0.0029165
ABLIM1	-0.54574299	0.0287476
ABLIM2	0.59267845	0.0303636
ABLIM3	0.42812844	0.2118145
ABO	0.60466389	0.0103063
ABR	0.42805367	0.0333871
ABRA	0.07264128	0.6784244
ABRACL	-0.09372459	0.8971984
ABT1	-0.18610439	0.3971562
ABTB1	0.12446108	0.5592659
ABTB2	-0.15370903	0.5471111
ACAA1	0.53457346	0.0204586
ACAA2	0.15675068	0.6221544
ACACA	-0.30172367	0.0865227
ACACB	0.18772764	0.4557201
ACAD10	0.06817689	0.7369799
ACAD8	-0.34854088	0.2015952
ACAD9	0.1590239	0.3670154
ACADL	0.11867933	0.6737758
ACADM	0.04199733	0.9506227
ACADS	0.31559095	0.2099624
ACADSB	0.37864919	0.1245235
ACADVL	-0.14999142	0.5375404
ACAN	-0.25991035	0.3981246
ACAP1	-0.38775434	0.2306853
ACAP2	0.52521258	0.0741252
ACAP3	0.31762084	0.1363514
ACAT1	0.42606411	0.4199497
ACAT2	0.01239481	0.9685001
ACBD3	-1.31553537	0.0101482
ACBD4	0.07258148	0.6910639
ACBD5	-0.32888227	0.0941284
ACBD6	0.47469673	0.0087001
ACCS	0.42776356	0.3195571
ACD	0.04926186	0.8067208
ACE	-0.21212411	0.2228119
ACE2	-0.32048549	0.1832993
ACER1	0.00748682	0.9789014
ACER2	0.12952337	0.7531167
ACER3	1.14883327	0.0008553
ACHE	-0.44365988	0.0794034
ACIN1	-0.35179482	0.0713554
ACKR1	0.29906382	0.3375555
ACKR2	0.64230881	0.0957886
ACKR3	1.3333622	0.0004081
ACKR4	0.01054306	0.9562479
ACLY	-0.71301728	0.0060899
ACMSD	-0.02299118	0.9106476
ACO1	-0.04022117	0.8045384
ACO2	-0.15195446	0.6956432
ACOD1	-0.07235546	0.7774833
ACOT11	-0.16398282	0.5204335
ACOT12	-0.16515589	0.3027029
ACOT13	0.00360718	0.995253
ACOT4	0.24405451	0.2642659
ACOT6	-0.1341732	0.3866051
ACOT7	0.27486438	0.2577054
ACOT8	-0.06399703	0.8113092
ACOT9	0.04797259	0.8723459
ACOX1	-0.72066755	0.0181615
ACOX2	0.44896053	0.0898364
ACOX3	0.2937787	0.2342212
ACOXL	0.89565197	0.0883458
ACP1	-0.39100733	0.1680781
ACP2	-0.27048006	0.2762395
ACP5	-0.60886507	0.0744957
ACP6	-0.101019	0.5744858
ACPP	0.40252008	0.5279852
ACPT	0.2691545	0.3422301
ACR	-0.01956105	0.9472393
ACRBP	0.19948549	0.339397
ACRC	0.00910172	0.9797888
ACRV1	-0.14592552	0.3709143
ACSBG1	0.05974059	0.7738008
ACSBG2	-0.2175662	0.2843389
ACSF2	0.3159214	0.2603247
ACSF3	-0.15532351	0.3948555
ACSL1	-0.81399527	0.1723338
ACSL3	0.83125144	0.0079312
ACSL4	0.81874428	0.0164281
ACSL5	0.42489567	0.2744016
ACSL6	0.20700068	0.4790509
