Gene	MayorLynn2011.FC	MayorLynn2011.p
KRTAP26-1	0.36	0.005
OR51E2	0.41	0.01
FRAT1	1.06	0.01
TIMD4	3.28	0.01
PAPPA2	0.26	0.02
TMEM54	0.67	0.02
TESK2	1.02	0.02
TUBAL3	0.85	0.02
MTAC2D1	1.77	0.02
CLDN8	0.66	0.03
FBP1	0.66	0.03
C11ORF54	2.5	0.03
EBI3	0.85	0.03
MFSD2	0.84	0.03
RAB7B	2.4	0.03
PGA5	2.12	0.03
HCLS1	1.36	0.03
PIP5K1B	1.93	0.03
GJB7	1.25	0.03
SEMA4A	1.02	0.03
LOC402682	2.53	0.03
CRI2	1.75	0.03
MMP1	3.98	0.03
RHOBTB1	1.25	0.03
SIAH1	1.16	0.03
TTYH1	2.37	0.03
EYA2	1.91	0.03
SERPINI1	2.67	0.03
TCF21	2.05	0.03
LRIG3	1.83	0.03
ACOXL	2.98	0.03
SR-A1	1.5	0.03
APOE	1.98	0.03
LIN7A	1.25	0.03
GREM2	0.51	0.03
C19ORF20	1.85	0.03
AQP3	0.29	0.04
C10ORF87	0.31	0.04
DENND2D	0.67	0.04
BRAF	0.77	0.04
DLX5	0.88	0.04
TRIM17	0.83	0.04
SMARCC2	1.22	0.04
MGC3123	1.26	0.04
CROT	2.47	0.04
ARSI	2.47	0.04
CDO1	1.21	0.04
THEDC1	0.73	0.04
AGTR1	1.17	0.04
IL17C	0.93	0.04
MGC15416	1.72	0.04
C20ORF3	1.42	0.04
C22ORF18	1.38	0.04
RASL11B	1.8	0.04
KIAA0828	1.82	0.04
DACT2	1.39	0.04
HIST2H2BE	1.35	0.04
F5	2.23	0.04
FAM102B	1.38	0.04
TLR3	1.46	0.04
MMP9	0.93	0.04
MBNL3	1.38	0.04
MLSTD1	1.77	0.04
SPINT1	1.5	0.04
CNOT3	1.43	0.04
FAM108A2	1.75	0.04
KRT86	0.69	0.04
PHYHIPL	1.55	0.04
IGSF4B	2.07	0.04
LGALS13	1.84	0.04
GSTA2	2.6	0.04
SLC16A4	1.52	0.04
SLC19A1	1.66	0.04
CD33	1.2	0.04
PEX14	1.5	0.04
CRH	0.8	0.04
MGRN1	1.62	0.04
SCIN	1.24	0.04
IBRDC3	1.39	0.04
GDA	1.8	0.04
ZNF423	2.01	0.04
MAGEA4	1.16	0.04
MLLT1	1.49	0.04
NCF1	1.49	0.04
VNN3	2.39	0.04
ARHGEF16	0.97	0.05
SLC7A10	0.07	0.05
PAPPA	0.81	0.05
GAL3ST4	0.56	0.05
CYP11A1	0.75	0.05
GCM1	0.93	0.05
PSG9	0.85	0.05
PSPC1	1.55	0.05
NOPE	0.85	0.05
ELK1	2.22	0.05
RBBP7	1.41	0.05
BAD	1.26	0.05
STARD5	1.63	0.05
RCE1	1.32	0.05
S100A1	1.14	0.05
SCAMP4	1.23	0.05
FLJ22688	1.46	0.05
NUBP2	1.11	0.05
THOC4	1.33	0.05
KIF2	1.07	0.05
FLJ12886	1.38	0.05
