Gene	deGoede2017.padj	deGoede2017.logFC
A1BG	0.908	-0.0113
A1CF	0.99	0.00378
A2M	0.99	-0.00992
A2M-AS1	0.99	0.00723
A2ML1	0.99	0.00454
A3GALT2	0.99	-0.00778
A4GALT	0.99	-0.00173
A4GNT	0.99	-0.02
AAAS	0.99	0.00324
AACS	0.135	-0.0275
AACSP1	0.99	-0.0139
AADAC	0.99	0.00551
AADACL3	0.99	-0.0256
AADACL4	0.99	-0.0275
AADAT	0.837	-0.00746
AAED1	0.99	-0.00274
AAGAB	0.99	0.000545
AAK1	0.99	-0.0159
AAMDC	0.88	-0.0149
AAMP	0.99	-0.00324
AANAT	0.99	-0.0131
AAR2	0.985	-0.00491
AARD	0.0618	0.064
AARS	0.99	-0.000831
AASDH	0.99	0.00636
AASDHPPT	0.496	-0.00993
AASS	0.859	-0.0187
AATBC	0.99	-0.0649
AATF	0.99	-0.00219
AATK	0.99	-0.0146
AATK-AS1	0.99	-0.0215
ABAT	0.187	0.0602
ABCA1	0.608	-0.00526
ABCA10	0.99	0.0169
ABCA11P	0.99	0.00611
ABCA12	0.99	-0.0437
ABCA13	0.187	-0.0415
ABCA17P	0.847	0.0387
ABCA2	0.839	-0.00916
ABCA3	0.0182	0.0658
ABCA4	0.082	0.116
ABCA5	0.851	-0.0442
ABCA6	0.99	-0.0326
ABCA7	0.112	0.0133
ABCA8	0.99	-0.00622
ABCA9	0.866	-0.0733
ABCB1	0.619	-0.00756
ABCB10	0.99	-0.0258
ABCB11	0.99	-0.0222
ABCB4	0.99	0.0144
ABCB5	0.99	0.0296
ABCB6	0.437	-0.00952
ABCB8	0.99	-0.00218
ABCB9	0.99	-0.00311
ABCC1	0.483	-0.0103
ABCC10	0.99	-0.00561
ABCC11	0.822	-0.00874
ABCC12	0.821	-0.0458
ABCC13	0.54	-0.0226
ABCC2	0.99	-0.0166
ABCC3	0.99	-0.000763
ABCC4	0.524	0.0451
ABCC5	0.99	0.0268
ABCC6	0.99	-0.0125
ABCC6P1	0.99	0.00962
ABCC6P2	0.99	-0.011
ABCC8	0.0769	0.0341
ABCC9	0.76	0.0308
ABCD2	0.99	-0.00548
ABCD3	0.785	0.0222
ABCD4	0.99	0.00579
ABCE1	0.99	-0.00522
ABCF1	0.829	0.00495
ABCF2	0.561	-0.0192
ABCF3	0.968	-0.00551
ABCG1	0.00329	0.0967
ABCG2	0.99	-0.00248
ABCG4	0.99	0.00185
ABCG5	0.99	-0.0177
ABCG8	0.99	-0.0167
ABHD1	0.99	-0.00907
ABHD10	0.99	-0.00169
ABHD11	0.99	-0.00496
ABHD11-AS1	0.99	-0.00709
ABHD12	0.766	-0.00655
ABHD12B	0.99	0.015
ABHD13	0.99	-0.000583
ABHD14A-ACY1	0.99	-0.00413
ABHD14B	0.272	-0.0384
ABHD15	0.99	-0.0232
ABHD16A	0.00104	-0.121
ABHD16B	0.99	0.00217
ABHD17A	0.902	-0.0155
ABHD17B	0.508	-0.00962
ABHD17C	0.155	-0.081
ABHD18	0.99	-0.0034
ABHD2	0.733	0.0308
ABHD3	0.301	-0.0847
ABHD4	0.987	-0.0594
ABHD5	0.503	-0.0108
ABHD6	0.99	0.00698
ABHD8	0.212	-0.00803
ABI1	0.752	-0.0052
ABI2	0.99	-0.00392
ABI3	0.456	0.0346
ABI3BP	0.393	0.0658
ABL1	0.408	0.013
ABL2	0.62	-0.0158
ABLIM1	0.652	-0.00664
ABLIM2	0.982	-0.0105
ABLIM3	0.00816	0.0646
ABO	0.833	-0.0301
ABR	0.247	0.139
ABRA	0.99	-0.0142
ABRACL	0.702	0.00838
ABT1	0.00448	-0.0804
ABTB1	0.385	-0.00652
ABTB2	0.693	-0.00723
ACAA1	0.99	0.00139
ACAA2	0.49	-0.00942
ACACA	0.99	-0.00391
ACACB	0.99	-0.00914
ACAD10	0.99	-0.0162
ACAD11	0.99	-0.0107
ACAD8	0.99	-0.0664
ACAD9	0.99	-0.00363
ACADL	0.596	-0.0484
ACADM	0.99	-0.00351
ACADS	0.471	0.0629
ACADSB	0.347	-0.0742
ACADVL	0.313	-0.0152
ACAN	0.194	-0.0522
ACAP1	0.604	-0.0503
ACAP2	0.0369	-0.115
ACAP3	0.00435	-0.0707
ACAT1	0.228	-0.0701
ACAT2	0.99	-0.00179
ACBD3	0.855	0.0213
ACBD4	0.0552	-0.0448
ACBD5	0.492	-0.00944
ACBD6	0.99	0.000446
ACBD7	0.815	-0.012
ACCS	0.957	-0.0046
ACCSL	0.99	-0.00557
ACD	0.99	0.00136
ACE	0.835	-0.00715
ACER1	0.99	-0.0117
ACER2	0.974	0.0422
ACER3	0.645	0.0741
ACHE	0.534	0.00944
ACIN1	0.573	0.0243
ACKR1	0.99	-0.0641
ACKR2	0.832	0.0563
ACKR3	0.0363	-0.0431
ACLY	0.766	-0.00621
ACMSD	0.725	-0.0672
ACO1	0.99	-0.00941
ACO2	0.99	0.00322
ACOT1	0.99	-0.0166
ACOT11	0.884	-0.0707
ACOT13	0.99	-0.000831
ACOT4	0.99	-0.0017
ACOT6	0.99	0.0128
ACOT7	0.658	0.0206
ACOT8	0.99	-0.000825
ACOX1	0.588	0.0233
ACOX2	0.99	-0.0324
ACOX3	0.86	-0.0112
ACOXL	0.000915	0.0402
ACP1	0.67	0.0235
ACP2	0.99	0.0087
ACP5	0.272	-0.0816
ACP6	0.99	-0.00111
ACP7	0.99	-0.0021
ACPP	0.99	-0.00607
