Gene	logFC	padj.value
A1BG	0.0417	0.569625
A1BG-AS1	0.0205	0.923844
A1CF	-0.0197	0.833787
A2M	0.00671	0.219238
A2M-AS1	-0.239	0.683658
A2ML1	0.0743	0.049719
A4GALT	0.00202	1
A4GNT	-0.000162	0.890233
AAAS	-0.0869	0.771441
AACS	0.0396	0.789684
AACSP1	0.00301	0.87025
AADAC	-0.000453	0.768279
AADACL2	-1.33E-14	1
AADACP1	-1.33E-14	1
AADAT	-0.00015	1
AAED1	-0.195	0.385225
AAGAB	-0.0379	0.750395
AAK1	0.000425	1
AAMDC	0.0588	0.653342
AAMP	0.094	0.802038
AANAT	0.00129	0.976081
AAR2	0.0121	1
AARS	0.121	0.642726
AARS2	-0.0868	0.383668
AARSD1	-0.000356	0.826759
AASDH	-0.0549	0.427258
AASDHPPT	-0.27	0.07505
AASS	-0.00114	0.948541
AATBC	-0.149	0.814718
AATF	0.0929	0.487346
AATK	0.0929	0.695435
ABAT	0.0745	0.844243
ABCA1	-0.278	0.458739
ABCA11P	-0.0151	0.882097
ABCA12	0.00216	0.606476
ABCA13	-0.147	0.693088
ABCA17P	0.0832	0.487346
ABCA2	0.0698	0.203968
ABCA3	0.00685	0.86414
ABCA4	-0.0116	0.871094
ABCA5	-0.435	0.07438
ABCA6	0.000735	0.574561
ABCA7	0.0855	0.742731
ABCA8	-0.000306	0.813055
ABCA9	0.000612	1
ABCB1	-0.0268	0.958115
ABCB10	-0.696	0.049719
ABCB11	-1.33E-14	1
ABCB4	-0.0209	0.675435
ABCB5	-1.33E-14	1
ABCB6	0.0445	0.752186
ABCB7	-0.301	0.105219
ABCB8	0.00216	0.688114
ABCB9	-0.00342	1
ABCC1	-0.0936	0.410482
ABCC10	-0.0582	0.787282
ABCC11	0.00358	1
ABCC12	-1.33E-14	1
ABCC13	-0.0185	1
ABCC2	0.106	0.187835
ABCC3	0.0924	0.556588
ABCC4	0.0705	0.908547
ABCC5	-0.105	0.79792
ABCC6	-0.00458	0.824683
ABCC8	-0.00109	0.772405
ABCC9	-1.33E-14	1
ABCD1	0.224	0.52495
ABCD2	-0.0377	0.400237
ABCD3	-0.224	0.25116
ABCD4	-0.0164	0.345636
ABCE1	-0.538	0.091543
ABCF1	0.0775	0.831886
ABCF2	0.00276	1
ABCF3	0.0724	0.590343
ABCG1	-0.251	0.417112
ABCG2	-0.0309	1
ABCG4	-0.00548	0.984361
ABCG5	-0.000469	0.771441
ABCG8	-0.000293	1
ABHD1	-0.000736	0.729987
ABHD10	-0.46	0.069632
ABHD11	0.0698	0.273648
ABHD12	-0.00693	0.997609
ABHD12B	-0.0284	0.479136
ABHD13	-0.254	0.259196
ABHD14A	-0.161	0.675749
ABHD14B	-0.151	0.625058
ABHD15	-0.0747	0.62456
ABHD16A	0.238	0.028812
ABHD16B	-1.33E-14	1
ABHD17B	-0.0678	0.216545
ABHD17C	0.112	0.69086
ABHD18	0.171	0.582382
ABHD2	0.257	0.240806
ABHD3	-0.377	0.031316
ABHD4	0.195	0.274803
ABHD5	-0.0384	0.980402
ABHD6	-0.0815	0.403589
ABHD8	0.101	0.648922
ABI1	-0.172	0.142661
ABI2	-0.0292	0.575002
ABI3	0.0514	0.832319
ABI3BP	-1.33E-14	1
ABL1	-0.0132	1
ABL2	0.0939	0.066509
ABLIM1	-0.06	0.824201
ABLIM2	0.00141	1
ABLIM3	0.229	0.137575
ABO	-0.00129	1
ABR	0.101	0.542239
ABRA	-1.33E-14	1
ABRACL	-0.217	0.26178
ABT1	-0.14	0.35355
ABTB1	0.0803	0.772405
ABTB2	-0.00359	0.90119
ACAA1	0.108	0.219974
ACAA2	-0.0307	0.741607
ACACA	0.0572	0.798302
ACACB	0.00226	1
ACAD10	0.0132	0.30922
ACAD11	0.0247	0.582788
ACAD8	-0.0656	0.833644
ACAD9	0.0586	0.928016
ACADL	-1.33E-14	1
ACADM	-0.549	0.057349
ACADS	0.0711	0.52232
ACADSB	-0.195	0.227799
ACADVL	0.0554	0.801248
ACAN	0.0519	0.380325
ACAP1	0.176	0.219974
ACAP2	-0.0806	0.77117
ACAP3	-0.00456	1
ACAT1	-0.147	0.262432
ACAT2	-0.184	0.506193
ACBD3	-0.113	0.451835
ACBD4	-0.047	0.66461
ACBD5	-0.13	0.192954
ACBD6	-0.0219	0.936751
ACCS	-0.13	0.797521
ACD	-0.00632	1
ACE	-0.016	0.832479
ACE2	-1.33E-14	1
ACER1	-0.0507	0.73832
ACER3	0.322	0.212861
ACHE	0.00851	1
ACIN1	0.118	0.461492
ACKR1	0.221	0.769893
ACKR2	0.0202	0.877632
ACKR3	-0.123	0.30602
ACLY	0.0277	0.937983
ACMSD	-0.000297	0.844093
ACO1	-0.0146	0.97603
ACO2	-0.0256	0.999651
ACOT11	0.0208	0.813015
ACOT12	-0.00433	1
ACOT13	0.124	0.570798
ACOT4	-0.024	0.897383
ACOT6	-1.33E-14	1
ACOT7	0.229	0.095805
ACOT8	0.14	0.222039
ACOT9	0.0471	0.889073
ACOX1	0.176	0.502521
ACOX2	0.0414	0.07438
ACOX3	-0.0035	1
ACOXL	0.00868	1
ACP1	-0.171	0.657797
ACP2	0.201	0.506349
ACP5	0.0208	1
ACP6	0.0759	0.823855
ACPP	0.0725	0.816712
ACPT	0.103	0.400075
ACRBP	0.226	0.376145
ACRC	-0.0596	0.839173
ACRV1	-1.33E-14	1
ACSBG1	0.0157	1
ACSBG2	0.00925	0.458328
ACSF2	0.048	0.74009
ACSF3	0.000604	1
ACSL1	0.104	0.529268
ACSL3	0.108	0.736546
ACSL5	-0.0209	1
ACSL6	-0.117	0.903345
ACSM1	-0.00103	0.768279
ACSM3	-0.00627	0.943625
ACSM5	0.0143	0.463915
ACSS1	-0.13	0.309913
ACSS2	0.278	0.022425
ACSS3	0.0265	0.832617
ACTA1	0.0097	0.15735
ACTA2	0.0737	0.895982
ACTB	-0.0129	1
ACTC1	0.0336	0.615065
ACTG1	-0.0492	0.495429
ACTG1P17	0.0536	0.228349
ACTG2	0.065	0.222039
ACTL10	-0.0222	0.671777
ACTL6A	-0.28	0.242907
ACTL6B	-1.33E-14	1
ACTL7A	0.0207	0.89355
ACTL7B	0.000949	1
ACTL8	-0.0105	0.791145
ACTL9	-0.0126	0.652414
ACTN1	0.233	0.16911
ACTN2	0.00045	0.622846
ACTN3	0.00899	0.960378
ACTN4	0.258	0.202171
ACTR10	-0.0818	0.495162
ACTR1A	0.196	0.069454
ACTR1B	-0.0558	0.639782
ACTR2	-0.104	0.553754
ACTR3	-0.063	0.582319
ACTR3B	-0.0185	0.508833
ACTR3C	0.0656	0.706433
ACTR5	-0.067	0.621874
ACTR6	-0.67	0.074125
ACTR8	0.000846	1
ACTRT2	0.00268	1
ACTRT3	0.0138	0.19806
ACVR1	-0.224	0.238851
ACVR1B	0.103	0.394154
ACVR1C	-0.155	0.212929
ACVR2A	-0.12	0.394173
ACVR2B	-0.00409	0.731069
ACVR2B-AS1	-0.0226	0.533881
ACVRL1	0.000238	0.833787
ACY1	0.0304	0.897268
ACY3	0.00569	0.530551
ACYP1	-0.328	0.077232
ACYP2	-0.144	0.622656
ADA	-0.0292	1
ADAD1	0.013	0.332395
ADAD2	0.14	0.387551
ADAL	0.00126	0.698405
ADAM10	-0.132	0.697901
ADAM11	-0.00907	0.673143
ADAM12	0.00301	0.67408
ADAM15	0.00773	0.774365
ADAM17	0.129	0.587983
ADAM18	0.000231	0.778633
ADAM19	0.228	0.432666
ADAM2	-0.000357	0.86829
ADAM20	-0.00439	0.8466
ADAM21	-0.000583	0.774365
ADAM22	-1.33E-14	1
ADAM23	0.000707	0.553711
ADAM28	-0.234	0.045885
ADAM29	0.00271	0.431315
ADAM30	-1.33E-14	1
ADAM32	-0.00258	0.998967
ADAM33	-0.0000414	1
ADAM3A	0.059	0.572594
ADAM5	0.00154	0.92212
ADAM6	0.0233	0.924727
ADAM7	-0.000496	0.805002
ADAM8	0.151	0.400731
ADAM9	0.108	0.656082
ADAMDEC1	0.00217	0.706433
ADAMTS1	0.00545	0.440598
ADAMTS10	0.0395	0.585013
ADAMTS12	0.0466	0.70017
ADAMTS13	0.000973	0.950296
ADAMTS14	0.0522	0.268239
ADAMTS15	-0.000208	0.876081
ADAMTS16	-0.00145	0.832319
ADAMTS17	0.000713	0.692661
ADAMTS18	-1.33E-14	1
ADAMTS19	-0.000183	0.961434
ADAMTS2	-0.148	0.519897
ADAMTS20	-1.33E-14	1
ADAMTS3	0.000244	0.766573
ADAMTS5	-0.023	0.751831
ADAMTS6	-0.00143	0.762612
ADAMTS8	-0.00333	0.50723
ADAMTS9	-1.33E-14	1
ADAMTS9-AS2	-1.33E-14	1
ADAMTSL1	-1.33E-14	1
ADAMTSL2	0.00275	0.647314
ADAMTSL3	-1.33E-14	1
ADAMTSL4	0.257	0.366668
ADAMTSL5	-0.0035	1
ADAP1	0.144	0.277745
ADAP2	0.173	0.776986
ADAR	0.0261	0.920097
ADARB1	-0.00274	1
ADARB2	-0.0244	0.699647
ADARB2-AS1	0.000362	0.992088
ADAT1	-0.0451	0.908547
ADAT2	-0.0878	0.248935
ADAT3	0.0251	0.624347
ADCK1	-0.0106	1
ADCK2	-0.0535	0.845262
ADCK3	-0.0356	0.832319
ADCK4	0.128	0.559759
ADCK5	-0.0106	0.915091
ADCY1	-1.33E-14	1
ADCY10	-0.000292	0.853091
ADCY10P1	-0.279	0.18652
ADCY2	-1.33E-14	1
ADCY3	0.298	0.072181
ADCY4	0.131	0.627007
ADCY6	0.0103	0.710124
ADCY7	-0.0935	0.347124
ADCY8	-0.00462	0.736297
ADCY9	0.00327	0.975926
ADCYAP1	-1.33E-14	1
ADCYAP1R1	-0.00603	0.794518
ADD1	0.063	0.812302
ADD2	-0.0539	0.710693
ADD3	-0.175	0.101665
ADD3-AS1	0.00978	0.076797
ADGB	0.0137	0.840937
ADGRA1	-0.00373	0.975656
ADGRA2	0.000425	0.671356
ADGRA3	0.000408	0.642009
ADGRB1	0.111	0.353156
ADGRB2	0.0207	0.864658
ADGRB3	-1.33E-14	1
ADGRD1	0.00121	1
ADGRE1	0.752	0.013154
ADGRE2	0.161	0.502853
ADGRE3	0.088	0.781867
ADGRE5	0.224	0.238647
ADGRF1	-0.0000626	0.99007
ADGRF2	-0.0000156	1
ADGRF3	-1.33E-14	1
ADGRF4	-1.33E-14	1
ADGRF5	0.00244	0.538922
ADGRG1	0.229	0.270763
ADGRG2	-0.00234	0.648922
ADGRG3	0.484	0.051904
ADGRG4	0.0000509	1
ADGRG5	0.0596	0.703073
ADGRG6	-0.000392	0.870277
ADGRG7	0.176	0.282021
ADGRL1	0.0172	0.28373
ADGRL2	-0.000152	0.91653
ADGRL3	-0.00000297	1
ADGRL4	-0.00073	0.919205
ADGRV1	-0.00254	0.675011
ADH1A	0.0285	0.489738
ADH1B	0.0000204	1
ADH1C	0.0366	0.585775
ADH4	0.000263	0.746338
ADH5	-0.323	0.091543
ADH6	-0.0012	0.832407
ADH7	-0.00276	0.709209
ADHFE1	-0.129	0.449745
ADI1	-0.0636	0.756694
ADIG	0.00221	0.780542
ADIPOQ	-0.000332	0.960967
ADIPOR1	-0.0788	0.677374
ADIPOR2	0.0996	0.395947
ADIRF	-0.0147	0.794871
ADIRF-AS1	-0.00343	1
ADK	-0.331	0.049719
ADM	0.277	0.086777
ADM2	-0.0298	0.831687
ADM5	-0.00145	1
ADNP	-0.179	0.082407
ADNP2	-0.0914	0.547476
ADO	-0.374	0.133473
ADORA1	-0.000925	1
ADORA2A	0.162	0.18233
ADORA2A-AS1	-1.33E-14	1
ADORA2B	0.0404	0.464613
ADORA3	-0.194	0.751702
ADPGK	-0.128	0.356822
ADPRH	-0.0244	0.785406
ADPRHL1	-0.0071	0.788715
ADPRHL2	-0.0713	0.708513
ADPRM	-0.281	0.101772
ADRA1A	0.00411	0.519897
ADRA1B	-1.33E-14	1
ADRA1D	0.000756	0.552185
ADRA2A	-0.0143	0.839173
ADRA2B	0.0325	0.199069
ADRA2C	0.0345	0.770115
ADRB1	0.019	0.779971
ADRB2	-0.37	0.056597
ADRB3	0.00191	0.805972
ADRBK1	-0.0131	1
ADRBK2	0.0429	0.890023
ADRM1	0.0872	0.454859
ADSL	-0.137	0.648093
ADSS	-0.251	0.289394
ADSSL1	-0.0456	0.661653
ADTRP	-0.118	0.512595
AEBP1	0.0349	0.824683
AEBP2	-0.104	0.11743
AEN	-0.0408	0.787282
AES	-0.139	0.612213
AFAP1	0.0412	0.702217
AFAP1-AS1	-0.00141	0.965468
AFAP1L1	-1.33E-14	1
AFAP1L2	0.0286	0.22487
AFF1	-0.00779	0.970639
AFF2	-1.33E-14	1
AFF3	-1.33E-14	1
AFF4	-0.00177	0.761858
AFG3L1P	-0.029	0.19806
AFG3L2	-0.181	0.422977
AFM	0.00129	0.503739
AFMID	0.0192	0.452678
AFP	0.000775	0.871094
AFTPH	0.0561	0.506029
AGA	0.0145	1
AGAP1	0.0162	0.384662
AGAP11	-0.0194	0.737636
AGAP2	0.093	0.03533
AGAP2-AS1	0.000512	0.593578
AGAP3	-0.00415	0.805886
AGBL2	0.00414	0.852514
AGBL3	0.000671	0.559759
AGBL5	-0.0154	0.999651
AGER	-0.00177	1
AGFG1	0.109	0.751279
AGFG2	0.00757	0.464364
AGGF1	-0.256	0.147741
AGK	-0.131	0.471833
AGL	-0.594	0.063577
AGMAT	0.0354	0.891542
AGO1	0.225	0.105852
AGO2	0.144	0.606144
AGO3	-0.000282	1
AGO4	-0.0067	1
AGPAT1	0.161	0.336873
AGPAT2	0.171	0.137465
AGPAT3	0.0201	0.991218
AGPAT4	-0.0514	0.57808
AGPAT4-IT1	0.326	0.131206
AGPAT5	-0.377	0.056381
AGPS	-0.286	0.291832
AGR2	0.009	0.849583
AGR3	-0.000854	1
AGRN	-0.00857	0.930761
AGRP	-0.000128	0.91482
AGT	0.024	0.789684
AGTPBP1	0.00733	1
AGTR1	-1.33E-14	1
AGTR2	-1.33E-14	1
AGTRAP	0.151	0.283941
AGXT	-1.33E-14	1
AGXT2	0.0203	0.277437
AHCTF1	-0.264	0.109525
AHCY	-0.177	0.434447
AHCYL1	0.0413	0.816472
AHCYL2	-0.000695	1
AHDC1	0.023	0.332246
AHI1	-0.000381	0.795902
AHNAK	0.0257	0.941825
AHNAK2	-0.0000785	0.967807
AHR	-0.0951	0.860387
AHRR	0.109	0.282451
AHSA1	-0.0042	1
AHSA2	-0.136	0.249919
AHSG	-0.000589	0.824201
AHSP	-0.126	0.819576
AICDA	-0.0004	1
AIF1	0.0268	0.920645
AIF1L	-1.33E-14	1
AIFM1	-0.0651	0.908554
AIFM2	0.0149	0.841854
AIFM3	-0.0194	0.729973
AIG1	0.245	0.199216
AIM1	0.0323	0.86995
AIM1L	0.0412	0.119188
AIM2	0.0458	0.975926
AIMP1	-0.51	0.052728
AIMP2	-0.0126	1
AIP	-0.083	0.652424
AIPL1	-0.000543	0.710911
AIRE	0.0273	0.518005
AJAP1	-1.33E-14	1
AJUBA	-0.00000776	1
AK1	-0.0971	0.733931
AK2	-0.146	0.48932
AK3	-0.202	0.207566
AK4	0.00152	0.501093
AK5	-0.0122	0.953265
AK7	-0.00521	0.816472
AK8	0.0316	0.693681
AK9	0.00269	0.961855
AKAP1	-0.103	0.657523
AKAP10	0.0288	0.980402
AKAP11	-0.472	0.076258
AKAP12	-0.00133	0.824201
AKAP13	0.244	0.214972
AKAP14	-0.00484	0.717209
AKAP3	-0.000366	0.788205
AKAP4	0.00155	1
AKAP5	0.022	0.388781
AKAP6	-0.00173	0.789078
AKAP7	-0.215	0.058464
AKAP8	-0.138	0.140643
AKAP8L	0.0956	0.668855
AKAP9	-0.0977	0.740299
AKIP1	-0.0173	0.995618
AKIRIN1	-0.0363	0.93161
AKIRIN2	-0.0404	0.965881
AKNA	0.0765	0.69374
AKNAD1	-0.000746	0.831886
AKR1A1	0.0468	0.980122
AKR1B1	-0.162	0.550176
AKR1B10	0.03	0.934547
AKR1C1	0.244	0.274772
AKR1C2	-0.00217	0.851837
AKR1C3	0.253	0.628301
AKR1C4	-0.00887	0.829726
AKR1C6P	0.00433	0.998641
AKR1D1	-0.000457	0.903497
AKR1E2	0.014	0.181095
AKR7A2	-0.0776	0.835292
AKR7A3	0.0655	0.831886
AKT1	-0.0547	0.774175
AKT1S1	0.0728	0.83353
AKT2	-0.000726	1
AKT3	-0.00307	0.826759
AKTIP	-0.0742	0.724607
ALAD	-0.13	0.432552
ALAS1	0.02	0.985181
ALAS2	-0.0136	1
ALB	0.00696	0.719106
ALCAM	-0.281	0.390576
ALDH16A1	0.0928	0.737586
ALDH18A1	-0.102	0.671777
ALDH1A1	-0.417	0.454926
ALDH1A2	0.00177	0.495429
ALDH1A3	-0.000583	0.700309
ALDH1B1	0.0102	0.670985
ALDH1L1	0.0284	0.652194
ALDH1L2	-1.33E-14	1
ALDH2	0.103	0.769893
ALDH3A1	0.0515	0.189184
ALDH3A2	-0.0918	0.603287
ALDH3B1	0.0421	0.883088
ALDH3B2	-0.0078	0.782694
ALDH4A1	0.00277	0.505507
ALDH5A1	-0.027	0.998229
ALDH6A1	0.0138	1
ALDH7A1	-0.0113	0.769032
ALDH8A1	-0.0795	0.754315
ALDH9A1	0.0771	0.581974
ALDOA	0.157	0.079132
ALDOB	-1.33E-14	1
ALDOC	0.254	0.261507
ALG1	-0.0496	0.833644
ALG10	0.00186	0.479136
ALG10B	-0.0864	0.107825
ALG12	0.0671	0.274291
ALG13	-0.341	0.126142
ALG14	-0.144	0.425547
ALG2	-0.216	0.263194
ALG3	-0.0346	0.979202
ALG5	-0.244	0.374879
ALG6	-0.199	0.15619
ALG8	-0.184	0.660605
ALG9	-0.104	0.398921
ALK	0.000621	0.959309
ALKBH1	-0.0313	0.312978
ALKBH2	0.0436	0.738753
ALKBH3	-0.113	0.538591
ALKBH3-AS1	-0.000998	0.79917
ALKBH4	0.0583	0.680474
ALKBH5	0.0471	0.625058
ALKBH6	-0.0513	0.828094
ALKBH7	-0.0437	0.870585
ALKBH8	-0.0962	0.170679
ALLC	-0.0208	0.742731
ALMS1	-0.124	0.375855
ALOX12	0.471	0.139363
ALOX12-AS1	0.00718	0.976464
ALOX12B	-0.000722	1
ALOX12P2	0.000415	1
ALOX15	0.0176	0.984497
ALOX15B	-0.0594	0.753703
ALOX5	0.207	0.315955
ALOX5AP	0.0273	0.885167
ALOXE3	0.00301	0.48932
ALPI	-1.33E-14	1
ALPK1	0.148	0.539867
ALPK2	-0.000957	0.852514
ALPK3	0.129	0.487346
ALPL	0.537	0.089782
ALPP	0.00208	0.558946
ALPPL2	0.0228	0.832617
