Gene	logFC	p.value
1433B	1.061288908	0.473
1433E	0.895364766	0.772
1433F	1.076397144	0.679
1433T	0.707945784	0.48
1433Z	1.300169578	0.075
1B42	0.701455298	0.245
1B46	0.570164272	0.157
1B59	1.017500409	0.89
2AAA	1.041768479	0.804
2ABD	0.783429643	0.48
6PGD	1.241652308	0.172
6PGL	0.926972973	0.246
A1AG1	0.839459987	0.23
ABRACL	1.080332179	0.508
ACOX1	1.374041975	0.171
ACPH	0.944603748	0.32
ACSL1	1.202264435	0.468
ACTC	0.192309173	0.205
ACTG	0.751622894	0.204
ACTN1	0.998913429	0.581
ACTN4	1.102257042	0.307
ACTS	0.78417938	0.053
ADDA	1.836538343	0.034
ALBU	0.554625713	0.005
ALDOA	1.048743907	0.098
AMPL	1.713957308	0.288844366
ANX11	0.995259902	0.185
ANXA1	0.783429643	0.473
ANXA2	1.070242123	0.544
ANXA3	0.859013522	0.159
ANXA4	0.895364766	0.078
ANXA5	1.096478196	0.659
ANXA6	1.073966669	0.047
AP1B1	0.776247117	0.724
AP2A1	0.879022517	1
APMAP	1.093498446	0.307
APOA1	0.73790423	0.137
APT	0.87096359	0.109
ARC1B	1.070905708	0.49
ARGI1	1.207813835	0.366
ARK72	1.009252886	0.294
ARL8B	1.312199899	0.564
ARP2	0.78704579	0.065
ARP3	0.997161824	0.89
ARPC2	0.928966387	0.499
ARPC3	1.445439771	0.205
ARPC4	0.648634434	0.082
ARPC5	0.990965705	0.89
ASAH1	0.946237161	0.561
ASC	1.131248387	0.334
AT2L1	0.968277856	0.558
ATLA2	1.527566058	0.157
ATPA	1.21338885	0.724
ATPB	0.915555782	0.44
BASP	1.147289034	0.151
BIN2	0.800302325	0.6
BPI	1.071519305	0.72997162
BST1	1.386755829	0.095
CAH2	1.142878335	0.651020165
CALM	1.088409343	0.348
CALR	1.062884231	0.176
CALX	1.245941079	0.022
CAMP	0.879830533	0.235
CAN1	0.751622894	0.00506168
CAP1	0.920449572	0.294
CAP7	1.042317429	0.526877242
CAPG	1.096478196	0.385
CAPZB	0.953404446	0.194
CATA	0.990831945	0.7507696
CATD	0.765596607	0.897278961
CATG	0.858464583	0.423
CAZA1	1.164360464	0.143
CBL	0.583445104	0.368065506
CBR1	1.584893192	0.288844366
CBX1	1.374041975	0.36615656
CBX3	1.174897555	0.287757901
CD14	1.995262315	0.157
CD177	1.096478196	0.695800971
CD36	0.827383452	0.423
CD45	0.972747224	0.74
CDC37	0.937562007	0.641
CDD	1.008074793	0.679
CF115	0.90782053	0.245
CH10	1.08040218	0.282
CH3L1	0.834636104	0.89
CH60	1.527566058	0.289
CHIT1	1.621810097	0.089499455
CLH1	1.412537545	0.053269095
CLIC1	1.00461579	0.71961767
CNN2	0.950604794	0.846709419
COF1	0.950604794	0.261005439
COPD	0.981733275	0.473
COPE	0.928966387	0.717098887
COR1A	1.09970479	0.185
COR1C	1	0.688908644
COTL1	0.946237161	0.865714024
COX5A	1.87068214	0.033894854
CP4F3	1.132400363	0.61196238
CP4FB	0.73790423	0.291152223
CPNE1	1.061695557	0.799415109
CPNS1	0.359070471	0.044
CSTP1	0.704693069	1
CUTA	1.148153621	0.548
CXCL7	0.697437716	0.282
CY24B	0.820351544	0.200617085
CYC	0.508159443	0.288844366
DCUP	1.169499391	0.897
DEF3	0.827942164	0.185
DYSF	1.488611862	0.456
ECP	1.081433951	0.580716108
EF1A3	1.059622266	0.544
EF1B	0.97906433	0.825
EF2	1.116863248	0.518144832
EHD1	1.191242008	0.248213079
ELNE	1.294195841	0.095
ENDD1	1.621810097	0.12133525
ENOA	1.02847624	0.456
ENPL	1.176515923	0.194
ERP29	1.088870682	0.307
ESAM	0.972747224	0.153576397
ESTD	1.374041975	0.156
EZRI	0.776247117	0.72367361
F13A	0.776421617	0.109
F16P1	0.972747224	0.858
FCG3A	0.731139083	0.289
FCG3B	0.937562007	0.796
FGR	0.831763771	0.832
FIBA	0.702777659	0.194
FIBB	0.572796031	0.132
FIBG	0.730886276	0.159
FINC	0.717794291	0.07
FKB1A	1.039667146	0.562
FLNA	0.866961876	0.89
FOLR3	0.76207901	1
FUMH	1.127226702	0.761
G3P	0.968277856	0.689
G6PD	0.968277856	0.472
G6PI	0.98535861	0.72
GANAB	1.090281587	0.185
GAPR1	1.195726624	0.087
GBB1	1.125863576	0.122
GBB2	1.09607282	0.334
GDIB	0.937562007	0.327
GDIR1	0.824138115	0.246
GDIR2	1.180320636	0.431
GELS	0.929221825	0.194
GI24	1.235947433	0.386
GIMA4	1.548816619	0.135
GLGB	1.046283814	0.269
GLOD4	0.534564359	0.157
GLRX1	1.018591388	0.744
GLU2B	1.163169773	0.246
GLYG	1.276438809	0.308
GNAI2	0.843334758	0.32
GP1BA	0.820351544	0.246
GP1BB	0.851138038	0.415
GPDM	0.981747943	0.894
GPIX	0.948201694	0.508
GPSM3	1.127197456	0.332
GPV	0.75982504	0.176
GRAN	1.294195841	0.439
GRB2	1.02791539	0.978
GRP2	0.76207901	0.289
GRP75	1.241652308	0.156
GRP78	1.018799541	0.6
GSHR	0.839459987	0.935
GSTO1	1.306170888	0.362
GSTP1	0.969279616	0.619
GTR14	0.783429643	0.121
GYS1	1.527566058	0.64
HBA	1.185768748	0.761
HBB	1.095647932	0.89
HINT2	1.288249552	0.157
HNRH1	1.014812958	0.978
HNRPD	1.164126029	0.018
HNRPK	1.195680022	0.038
HNRPQ	1.235947433	0.572
HNRPU	1.555965632	0.439
HPT	0.995405417	0.334
HS90A	1.126590012	0.047
HS90B	1.171613978	0.136
HSP71	0.91622049	0.163
HSP7C	1.009681839	0.456
HSPB1	0.972747224	1
HXK1	2.333133129	0.258
HXK3	0.783429643	0.031
ICAL	1.096478196	0.799839578
IDHP	1.061695557	0.265
IGKC	1.393156803	0.137
ILEU	1.086425624	0.49
ILK	0.918120083	0.544
IMB1	1.224616199	0.162
IQGA1	0.895364766	0.508
IQGA2	3.221068791	0.05
ITA2	0.76913044	0.699
ITA2B	0.835603018	0.214
ITA6	0.920449572	0.397
ITAM	0.605340875	0.145
ITB2	1.059161596	0.282
ITB3	0.608135001	0.08
JAM1	0.783429643	0.051
K1C10	0.642966408	0.038
K1C13	1.151036795	0.868
K1C9	0.875368106	0.246
K2C1	0.669505149	0.204
K2C4	1.026829458	0.847
K2C6B	0.885610039	0.619
K6PL	0.772680585	0.331
KAD1	1.127197456	0.48
KAD2	1.300169578	0.48
KCAB2	0.597035287	0.157
KPCB	1.348962883	0.157
KPYM	0.903649474	0.172
KU70	1.127197456	0.346
KU86	1.01421154	0.408
LAMP1	0.835603018	0.724
LAMP2	1.023292992	0.479
LDHA	1.086425624	0.553
LDHB	1.169499391	0.109
LEGL	1.076465214	0.944
LGUL	1.009252886	0.724
LIMS1	1.570362804	0.083
LIRA3	1.00461579	0.672
LKHA4	0.827942164	0.32
LOX5	1.1007013	0.136
LPPL	1.180320636	0.219000166
LRRF1	0.73790423	0.841
LSM8	0.642687717	0.386
LSP1	1.048638424	0.362
LYN	1.169499391	0.572
LYSC	0.557185749	0.384
MAOM	0.920449572	0.906
MARE1	0.866961876	0.509
MDHC	1.017284507	0.619
MDHM	0.797994687	0.307
MGA	1.116863248	0.549
MIF	0.679203633	0.042
MK14	1.098168975	0.525
MMP8	1.113868427	0.235
MMP9	0.801678063	0.077
MOES	0.969578083	0.544
MPCP	0.933254301	0.724
MRLC3	1.096478196	0.313
MTPN	1.135849153	0.978
MVP	1.16647131	0.129
MYH9	1.479108388	0.084
MYL6	1.108097036	0.334
MYO1F	0.820351544	0.724
NAMPT	0.843334758	0.167
NB5R3	0.920421041	0.456
NCF1	0.924784733	0.204
NCF2	1.142345156	0.473
NCF4	0.783429643	0.439
NDKB	1.132400363	0.194
NGAL	0.784471372	0.151
NHERF	1.960160348	0.038
NPC2	0.928966387	0.288844366
NPM	0.933254301	0.948
OLFM4	0.90782053	0.6
OSTF1	1.265793504	0.082
OTUB1	1.018591388	0.439
PADI2	0.986279486	0.698
PARK7	1.197761374	0.294
PARVB	0.855685474	0.348
PDC6I	1.513561248	0.212
PDIA1	1.264466726	0.011
PDIA3	1.108735143	0.619
PDIA4	1.015994049	0.912
PDIA6	1.081433951	0.372
PDLI1	0.888098574	0.72
PDXK	0.903649474	0.869
PERM	1.056817509	0.553
PGAM1	1.061367161	0.204
PGK1	1.023223686	0.782
